filename,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,,,,,,,,
Animation_1080P-58d3,Animation,1080,148,4.243,4.395,3.965,4.024,0.556,0.465,0.503,0.548,,,,,,,,
Animation_1080P-5dd8,Animation,1080,115,3.958,3.946,4.006,4.233,0.562,0.552,0.62,0.494,,,,,,,,
Animation_1080P-646f,Animation,1080,143,3.376,3.248,3.228,3.383,0.709,0.698,0.736,0.761,,,,,,,,
Animation_1080P-66ba,Animation,1080,118,3.081,2.893,2.936,3.148,0.653,0.677,0.66,0.675,,,,,,,,
Animation_1080P-6a33,Animation,1080,143,2.052,1.868,1.755,1.919,1.075,1.037,1.003,1.035,,,,,,,,
Animation_1080P-6ec0,Animation,1080,134,4.124,3.923,3.829,4.222,0.568,0.527,0.541,0.598,,,,,,,,
Animation_2160P-41dc,Animation,2160,116,3.512,3.061,3.334,3.669,0.743,0.713,0.76,0.695,,,,,,,,
Animation_2160P-6f3b,Animation,2160,128,4.082,3.73,3.687,3.804,0.612,0.586,0.615,0.791,,,,,,,,
Animation_360P-08c9,Animation,360,112,3.652,3.606,3.726,3.622,0.456,0.476,0.514,0.552,,,,,,,,
Animation_360P-188f,Animation,360,125,3.702,3.44,3.697,3.664,0.458,0.564,0.52,0.485,,,,,,,,
Animation_360P-24d4,Animation,360,121,3.435,3.292,3.397,3.42,0.516,0.594,0.562,0.559,,,,,,,,
Animation_360P-3e40,Animation,360,140,2.353,2.239,1.896,1.962,0.928,0.649,0.747,0.81,,,,,,,,
Animation_360P-3e52,Animation,360,115,3.651,3.707,3.523,3.461,0.508,0.485,0.538,0.538,,,,,,,,
Animation_360P-47cc,Animation,360,133,3.282,3.306,3.333,3.09,0.671,0.613,0.655,0.682,,,,,,,,
Animation_360P-4b4c,Animation,360,130,3.003,3.126,3.002,3.046,0.816,0.612,0.649,0.66,,,,,,,,
Animation_360P-4edc,Animation,360,106,3.682,3.627,3.699,3.689,0.597,0.563,0.513,0.582,,,,,,,,
Animation_360P-5712,Animation,360,122,3.552,3.659,3.658,3.555,0.533,0.622,0.621,0.632,,,,,,,,
Animation_360P-5de0,Animation,360,117,3.429,3.307,3.451,3.431,0.523,0.577,0.543,0.551,,,,,,,,
Animation_360P-631c,Animation,360,108,2.236,2.056,2.019,1.891,0.689,0.574,0.56,0.598,,,,,,,,
Animation_360P-69e0,Animation,360,120,3.382,3.232,3.304,2.901,0.599,0.733,0.755,0.784,,,,,,,,
Animation_360P-7856,Animation,360,109,2.751,2.647,2.669,2.386,0.684,0.694,0.714,0.678,,,,,,,,
Animation_360P-794f,Animation,360,124,3.362,3.304,3.236,3.338,0.641,0.561,0.586,0.55,,,,,,,,
Animation_480P-046c,Animation,480,119,3.15,3.022,3.123,3.075,0.719,0.598,0.587,0.581,,,,,,,,
Animation_480P-073c,Animation,480,107,3.407,3.123,3.113,2.953,0.65,0.717,0.693,0.755,,,,,,,,
Animation_480P-087e,Animation,480,126,3.525,3.432,3.232,3.353,0.523,0.565,0.72,0.601,,,,,,,,
Animation_480P-08a5,Animation,480,104,3.42,3.19,3.535,3.52,0.625,0.668,0.662,0.564,,,,,,,,
Animation_480P-0d04,Animation,480,135,3.111,3.096,3.021,2.862,0.702,0.729,0.725,0.76,,,,,,,,
Animation_480P-1da7,Animation,480,106,3.183,2.912,2.959,3.228,0.679,0.744,0.752,0.726,,,,,,,,
Animation_480P-35ee,Animation,480,120,3.29,3.313,3.174,1.7,0.644,0.608,0.552,1.054,,,,,,,,
Animation_480P-3fdf,Animation,480,106,3.465,3.414,3.245,3.2,0.545,0.612,0.657,0.617,,,,,,,,
Animation_480P-4b86,Animation,480,131,3.495,3.32,3.246,3.257,0.535,0.547,0.601,0.668,,,,,,,,
Animation_480P-4e36,Animation,480,116,3.303,3.4,3.389,3.356,0.649,0.556,0.536,0.597,,,,,,,,
Animation_480P-52af,Animation,480,133,3.656,3.64,3.619,3.78,0.503,0.458,0.49,0.528,,,,,,,,
Animation_480P-66c0,Animation,480,125,3.453,3.537,3.504,3.373,0.538,0.606,0.517,0.56,,,,,,,,
Animation_480P-6e23,Animation,480,114,3.731,3.654,3.499,3.589,0.504,0.566,0.7,0.627,,,,,,,,
Animation_480P-6ef6,Animation,480,115,3.607,3.507,3.302,3.247,0.489,0.522,0.513,0.556,,,,,,,,
Animation_480P-6ff4,Animation,480,115,3.29,3.31,3.237,2.946,0.675,0.712,0.64,0.838,,,,,,,,
Animation_480P-70d4,Animation,480,120,3.848,3.9,3.793,3.624,0.524,0.469,0.462,0.514,,,,,,,,
Animation_480P-791b,Animation,480,137,3.286,3.142,3.229,3.139,0.591,0.641,0.673,0.674,,,,,,,,
Animation_480P-7a31,Animation,480,117,3.487,3.28,3.341,3.438,0.524,0.612,0.744,0.53,,,,,,,,
Animation_480P-7ef2,Animation,480,119,3.164,3.123,3.126,3.481,0.587,0.674,0.664,0.566,,,,,,,,
Animation_720P-0116,Animation,720,135,4.054,4.074,4.037,4.11,0.62,0.607,0.605,0.594,,,,,,,,
Animation_720P-01b3,Animation,720,112,3.638,3.46,3.291,3.278,0.589,0.554,0.701,0.678,,,,,,,,
Animation_720P-06a6,Animation,720,123,3.942,4.141,4.128,4.169,0.552,0.598,0.555,0.558,,,,,,,,
Animation_720P-0acc,Animation,720,122,3.876,3.771,3.881,3.886,0.501,0.597,0.521,0.5,,,,,,,,
Animation_720P-13b7,Animation,720,136,4.318,4.095,4.19,3.898,0.468,0.576,0.501,0.545,,,,,,,,
Animation_720P-1a6d,Animation,720,129,4.283,4.285,4.251,4.261,0.526,0.507,0.542,0.574,,,,,,,,
Animation_720P-2525,Animation,720,106,3.73,3.719,3.696,3.804,0.498,0.43,0.496,0.496,,,,,,,,
Animation_720P-2abf,Animation,720,127,3.615,3.521,3.366,3.488,0.686,0.615,0.744,0.697,,,,,,,,
Animation_720P-3adc,Animation,720,118,3.575,3.404,3.467,3.463,0.482,0.59,0.558,0.589,,,,,,,,
Animation_720P-412a,Animation,720,145,4.249,4.278,4.244,4.129,0.599,0.675,0.628,0.653,,,,,,,,
Animation_720P-41cf,Animation,720,131,3.862,3.89,3.926,4.077,0.464,0.58,0.553,0.624,,,,,,,,
Animation_720P-41d6,Animation,720,141,4.148,4.176,4.195,4.269,0.619,0.62,0.607,0.542,,,,,,,,
Animation_720P-4268,Animation,720,123,3.846,3.682,3.732,3.793,0.537,0.568,0.491,0.543,,,,,,,,
Animation_720P-431c,Animation,720,135,4.396,4.41,4.084,4.206,0.49,0.457,0.507,0.432,,,,,,,,
Animation_720P-57d9,Animation,720,121,3.522,2.751,3.572,3.533,0.513,0.657,0.527,0.492,,,,,,,,
Animation_720P-620f,Animation,720,127,4.522,4.64,4.641,4.501,0.477,0.375,0.385,0.433,,,,,,,,
Animation_720P-6372,Animation,720,124,4.422,4.221,3.832,4.282,0.477,0.615,0.564,0.507,,,,,,,,
Animation_720P-79ee,Animation,720,152,2.197,1.968,2.203,2.166,0.911,0.645,0.609,0.604,,,,,,,,
Animation_720P-7b29,Animation,720,125,3.862,3.776,3.687,3.804,0.477,0.595,0.507,0.48,,,,,,,,
Animation_720P-7e7d,Animation,720,114,3.589,3.365,3.403,3.482,0.63,0.784,0.819,0.774,,,,,,,,
Animation_720P-7ff2,Animation,720,136,4.124,4.156,3.866,3.904,0.627,0.616,0.581,0.581,,,,,,,,
CoverSong_1080P-0188,CoverSong,1080,138,2.383,2.205,2.224,2.284,1.096,1.122,1.079,1.088,,,,,,,,
CoverSong_1080P-033d,CoverSong,1080,127,4.433,4.358,4.472,4.412,0.468,0.482,0.431,0.495,,,,,,,,
CoverSong_1080P-0a86,CoverSong,1080,137,4.228,4.258,4.041,4.085,0.447,0.451,0.516,0.571,,,,,,,,
CoverSong_1080P-0cdc,CoverSong,1080,135,2.741,2.45,2.553,2.539,0.695,0.593,0.608,0.592,,,,,,,,
CoverSong_1080P-0f33,CoverSong,1080,120,3.221,3.198,3.078,3.059,0.494,0.468,0.652,0.632,,,,,,,,
CoverSong_1080P-0f3a,CoverSong,1080,130,4.358,4.4,4.347,4.385,0.478,0.415,0.493,0.431,,,,,,,,
CoverSong_1080P-1963,CoverSong,1080,126,3.882,3.778,3.612,3.502,0.539,0.536,0.543,0.618,,,,,,,,
CoverSong_1080P-1b08,CoverSong,1080,103,3.812,3.75,3.71,3.71,0.481,0.432,0.465,0.479,,,,,,,,
CoverSong_1080P-1b0c,CoverSong,1080,129,3.763,3.795,3.714,3.801,0.496,0.449,0.459,0.431,,,,,,,,
CoverSong_1080P-2207,CoverSong,1080,119,3.675,3.611,4.086,4.079,0.511,0.514,0.602,0.59,,,,,,,,
CoverSong_1080P-237f,CoverSong,1080,132,3.893,3.709,3.613,4.134,0.538,0.511,0.489,0.637,,,,,,,,
CoverSong_1080P-3409,CoverSong,1080,133,4.331,4.283,4.289,4.345,0.489,0.477,0.551,0.486,,,,,,,,
CoverSong_1080P-3499,CoverSong,1080,105,4.193,4.228,4.273,4.307,0.386,0.52,0.476,0.456,,,,,,,,
CoverSong_1080P-3aac,CoverSong,1080,112,3.381,3.524,3.407,3.441,0.489,0.545,0.498,0.507,,,,,,,,
CoverSong_1080P-3df8,CoverSong,1080,124,3.827,3.727,3.751,3.877,0.507,0.469,0.425,0.444,,,,,,,,
CoverSong_1080P-4bad,CoverSong,1080,136,4.298,4.321,4.379,4.364,0.458,0.503,0.458,0.478,,,,,,,,
CoverSong_1080P-5430,CoverSong,1080,137,3.969,3.728,4.046,4.19,0.477,0.479,0.582,0.558,,,,,,,,
CoverSong_1080P-5456,CoverSong,1080,112,3.736,3.829,3.778,3.762,0.445,0.51,0.541,0.523,,,,,,,,
CoverSong_1080P-5cae,CoverSong,1080,117,3.209,3.291,3.267,3.267,0.662,0.544,0.445,0.53,,,,,,,,
CoverSong_1080P-5e69,CoverSong,1080,124,3.29,3.46,3.433,3.42,0.507,0.564,0.499,0.481,,,,,,,,
CoverSong_1080P-5f92,CoverSong,1080,104,4.043,4.273,4.245,4.196,0.489,0.458,0.484,0.485,,,,,,,,
CoverSong_1080P-6f26,CoverSong,1080,137,4.288,4.328,4.151,4.116,0.487,0.488,0.591,0.584,,,,,,,,
CoverSong_360P-0a9d,CoverSong,360,130,2.538,2.284,2.218,2.224,0.752,0.521,0.461,0.466,,,,,,,,
CoverSong_360P-0aa2,CoverSong,360,123,2.511,2.368,2.26,2.306,0.572,0.495,0.459,0.432,,,,,,,,
CoverSong_360P-11f9,CoverSong,360,120,2.79,2.607,2.754,2.647,0.55,0.542,0.56,0.58,,,,,,,,
CoverSong_360P-13d2,CoverSong,360,104,2.578,2.441,2.404,2.414,0.667,0.506,0.563,0.511,,,,,,,,
CoverSong_360P-14b9,CoverSong,360,114,2.633,2.536,2.536,2.568,0.578,0.516,0.446,0.504,,,,,,,,
CoverSong_360P-1b2b,CoverSong,360,116,3.409,3.159,3.252,3.063,0.571,0.498,0.521,0.628,,,,,,,,
CoverSong_360P-2146,CoverSong,360,128,2.273,2.254,2.256,2.277,0.676,0.454,0.452,0.516,,,,,,,,
CoverSong_360P-2b4d,CoverSong,360,125,2.796,2.737,2.821,2.706,0.533,0.478,0.589,0.469,,,,,,,,
CoverSong_360P-3218,CoverSong,360,129,2.427,2.281,2.361,2.429,0.712,0.597,0.557,0.545,,,,,,,,
CoverSong_360P-4add,CoverSong,360,128,2.855,2.649,2.761,2.657,0.621,0.515,0.529,0.5,,,,,,,,
CoverSong_360P-53a6,CoverSong,360,127,3.235,3.255,3.189,3.023,0.506,0.528,0.555,0.668,,,,,,,,
CoverSong_360P-59d1,CoverSong,360,126,2.828,2.421,2.437,2.42,0.667,0.448,0.552,0.517,,,,,,,,
CoverSong_360P-5a24,CoverSong,360,114,2.789,2.675,2.856,2.942,0.656,0.538,0.568,0.615,,,,,,,,
CoverSong_360P-5d20,CoverSong,360,119,2.943,2.757,2.718,2.708,0.642,0.595,0.502,0.602,,,,,,,,
CoverSong_360P-67ec,CoverSong,360,117,2.404,2.211,2.794,2.942,0.581,0.55,0.6,0.566,,,,,,,,
CoverSong_360P-69ef,CoverSong,360,118,3.145,3.033,3.218,3.011,0.609,0.582,0.507,0.585,,,,,,,,
CoverSong_360P-6d6a,CoverSong,360,104,3.273,3.24,3.194,3.317,0.58,0.478,0.447,0.537,,,,,,,,
CoverSong_360P-6da7,CoverSong,360,120,2.763,2.75,2.655,2.648,0.61,0.524,0.466,0.514,,,,,,,,
CoverSong_480P-0170,CoverSong,480,109,3.118,2.915,2.763,2.844,0.569,0.665,0.578,0.627,,,,,,,,
CoverSong_480P-1019,CoverSong,480,115,3.815,3.509,3.692,3.523,0.43,0.442,0.481,0.451,,,,,,,,
CoverSong_480P-1109,CoverSong,480,114,2.826,2.762,2.573,2.271,0.614,0.607,0.563,0.584,,,,,,,,
CoverSong_480P-2142,CoverSong,480,119,3.25,3.232,3.203,3.152,0.532,0.53,0.483,0.66,,,,,,,,
CoverSong_480P-2207,CoverSong,480,125,2.934,2.935,2.931,2.945,0.782,0.729,0.737,0.751,,,,,,,,
CoverSong_480P-2d2c,CoverSong,480,123,3.837,3.743,3.692,3.631,0.485,0.451,0.427,0.447,,,,,,,,
CoverSong_480P-3076,CoverSong,480,127,1.71,1.505,1.529,1.524,0.779,0.519,0.59,0.607,,,,,,,,
CoverSong_480P-35e1,CoverSong,480,104,3.608,3.437,3.527,3.428,0.522,0.515,0.559,0.496,,,,,,,,
CoverSong_480P-3e4b,CoverSong,480,132,2.877,2.609,2.609,2.621,0.694,0.668,0.641,0.752,,,,,,,,
CoverSong_480P-3e92,CoverSong,480,139,4.235,4.277,4.174,4.259,0.35,0.457,0.526,0.456,,,,,,,,
CoverSong_480P-3f3b,CoverSong,480,120,3.027,2.575,2.467,2.658,0.657,0.489,0.483,0.485,,,,,,,,
CoverSong_480P-41a5,CoverSong,480,112,3.27,3.309,3.264,3.392,0.456,0.518,0.557,0.425,,,,,,,,
CoverSong_480P-4d34,CoverSong,480,113,2.677,2.498,2.526,2.479,0.67,0.424,0.485,0.503,,,,,,,,
CoverSong_480P-53f4,CoverSong,480,118,3.169,3.153,3.122,3.153,0.483,0.499,0.464,0.539,,,,,,,,
CoverSong_480P-59f2,CoverSong,480,121,3.418,3.404,3.342,3.508,0.517,0.546,0.533,0.482,,,,,,,,
CoverSong_480P-5b62,CoverSong,480,135,3.056,2.874,2.866,2.889,0.617,0.597,0.599,0.6,,,,,,,,
CoverSong_480P-60a6,CoverSong,480,113,2.369,2.629,2.661,2.715,0.457,0.593,0.69,0.629,,,,,,,,
CoverSong_480P-64d0,CoverSong,480,131,3.917,3.859,3.833,3.832,0.471,0.527,0.519,0.431,,,,,,,,
CoverSong_480P-6c3e,CoverSong,480,115,2.502,2.034,1.93,2.011,0.763,0.687,0.548,0.622,,,,,,,,
CoverSong_480P-6c50,CoverSong,480,107,2.729,2.895,2.814,2.73,0.538,0.586,0.617,0.568,,,,,,,,
CoverSong_480P-7f6d,CoverSong,480,131,3.048,3.019,2.921,2.96,0.619,0.503,0.612,0.577,,,,,,,,
CoverSong_720P-014c,CoverSong,720,120,2.618,2.359,2.387,2.473,0.66,0.493,0.616,0.62,,,,,,,,
CoverSong_720P-01a1,CoverSong,720,122,3.713,3.547,3.544,3.542,0.512,0.475,0.439,0.518,,,,,,,,
CoverSong_720P-0239,CoverSong,720,112,2.52,2.595,2.479,2.432,0.6,0.646,0.538,0.576,,,,,,,,
CoverSong_720P-05d6,CoverSong,720,114,3.744,3.644,3.516,3.358,0.424,0.502,0.569,0.595,,,,,,,,
CoverSong_720P-10f1,CoverSong,720,118,2.805,2.939,2.772,2.532,0.787,0.793,0.864,1.088,,,,,,,,
CoverSong_720P-1393,CoverSong,720,116,4.059,3.88,3.879,3.846,0.427,0.468,0.482,0.478,,,,,,,,
CoverSong_720P-2d05,CoverSong,720,119,3.224,3.087,2.996,3.393,0.643,0.61,0.655,0.537,,,,,,,,
CoverSong_720P-3dca,CoverSong,720,114,3.412,2.907,3.28,3.534,0.502,0.655,0.55,0.465,,,,,,,,
CoverSong_720P-4006,CoverSong,720,118,3.414,3.397,3.376,3.427,0.534,0.506,0.537,0.47,,,,,,,,
CoverSong_720P-449f,CoverSong,720,108,3.496,3.532,3.477,3.403,0.525,0.573,0.514,0.475,,,,,,,,
CoverSong_720P-5689,CoverSong,720,133,2.317,2.656,2.493,2.426,1.027,0.918,1.117,0.981,,,,,,,,
CoverSong_720P-5ba2,CoverSong,720,128,2.834,2.871,2.792,2.9,0.605,0.634,0.558,0.561,,,,,,,,
CoverSong_720P-60d3,CoverSong,720,134,2.991,2.794,2.788,2.8,0.577,0.492,0.462,0.471,,,,,,,,
CoverSong_720P-6626,CoverSong,720,123,3.316,2.952,3.039,3.155,0.479,0.588,0.58,0.53,,,,,,,,
CoverSong_720P-6b8c,CoverSong,720,123,2.988,2.816,2.888,2.924,0.665,0.639,0.694,0.648,,,,,,,,
CoverSong_720P-6d6a,CoverSong,720,115,3.52,3.459,3.492,3.348,0.549,0.553,0.511,0.496,,,,,,,,
CoverSong_720P-6d81,CoverSong,720,120,3.145,3.049,3.096,3.092,0.576,0.633,0.558,0.498,,,,,,,,
CoverSong_720P-7360,CoverSong,720,132,2.798,2.682,2.502,2.521,0.639,0.5,0.476,0.49,,,,,,,,
CoverSong_720P-7539,CoverSong,720,145,2.348,1.868,2.077,2.671,0.936,0.802,0.967,0.821,,,,,,,,
Gaming_1080P-0ce6,Gaming,1080,111,3.968,3.93,4.223,4.019,0.533,0.565,0.54,0.481,,,,,,,,
Gaming_1080P-0ef8,Gaming,1080,108,3.781,4.047,3.835,3.759,0.481,0.608,0.446,0.551,,,,,,,,
Gaming_1080P-12d4,Gaming,1080,134,4.494,4.422,4.354,4.122,0.449,0.479,0.543,0.699,,,,,,,,
Gaming_1080P-13e3,Gaming,1080,126,4.434,4.513,4.504,4.535,0.46,0.413,0.467,0.409,,,,,,,,
Gaming_1080P-1704,Gaming,1080,140,4.295,4.302,4.07,4.176,0.637,0.474,0.544,0.533,,,,,,,,
Gaming_1080P-173a,Gaming,1080,115,3.013,3.13,3.317,3.147,0.7,0.777,0.742,0.726,,,,,,,,
Gaming_1080P-190d,Gaming,1080,125,3.898,3.758,3.954,3.667,0.557,0.511,0.591,0.579,,,,,,,,
Gaming_1080P-2221,Gaming,1080,124,4.239,4.183,4.192,4.142,0.563,0.605,0.588,0.565,,,,,,,,
Gaming_1080P-223e,Gaming,1080,137,4.283,4.207,4.461,4.34,0.493,0.358,0.433,0.524,,,,,,,,
Gaming_1080P-26dc,Gaming,1080,130,3.541,3.397,3.437,3.724,0.811,0.842,0.77,0.637,,,,,,,,
Gaming_1080P-277c,Gaming,1080,122,3.884,3.981,3.746,3.89,0.523,0.67,0.579,0.599,,,,,,,,
Gaming_1080P-2927,Gaming,1080,135,4.441,4.477,4.487,4.469,0.44,0.469,0.41,0.457,,,,,,,,
Gaming_1080P-29b1,Gaming,1080,124,3.829,4.289,3.962,3.574,0.498,0.541,0.542,0.6,,,,,,,,
Gaming_1080P-2e97,Gaming,1080,133,4.391,4.324,4.29,4.279,0.487,0.467,0.478,0.463,,,,,,,,
Gaming_1080P-35fa,Gaming,1080,117,3.035,2.991,2.934,2.669,0.637,0.704,0.654,0.7,,,,,,,,
Gaming_1080P-3a9d,Gaming,1080,116,3.872,3.976,4.087,4.056,0.553,0.518,0.597,0.598,,,,,,,,
Gaming_1080P-3bf7,Gaming,1080,130,3.245,2.845,2.838,2.946,0.763,0.663,0.678,0.679,,,,,,,,
Gaming_1080P-3d58,Gaming,1080,124,3.782,3.96,3.915,4.066,0.47,0.678,0.538,0.568,,,,,,,,
Gaming_1080P-44c4,Gaming,1080,129,3.839,3.73,3.758,3.798,0.657,0.585,0.578,0.58,,,,,,,,
Gaming_1080P-45af,Gaming,1080,138,4.373,4.499,4.488,4.353,0.486,0.396,0.401,0.429,,,,,,,,
Gaming_1080P-45fc,Gaming,1080,124,3.695,3.592,3.678,3.836,0.624,0.638,0.555,0.564,,,,,,,,
Gaming_1080P-4865,Gaming,1080,132,4.355,4.284,4.302,4.09,0.48,0.532,0.495,0.461,,,,,,,,
Gaming_1080P-51fc,Gaming,1080,114,4.377,4.312,4.386,4.213,0.531,0.497,0.494,0.575,,,,,,,,
Gaming_1080P-564e,Gaming,1080,120,4.322,4.19,4.234,4.348,0.525,0.356,0.497,0.439,,,,,,,,
Gaming_1080P-57ca,Gaming,1080,136,4.409,4.289,4.358,4.39,0.505,0.598,0.594,0.505,,,,,,,,
Gaming_1080P-58ba,Gaming,1080,115,3.952,3.861,3.87,3.713,0.456,0.485,0.446,0.398,,,,,,,,
Gaming_1080P-5ae7,Gaming,1080,110,3.328,3.454,2.876,2.769,0.701,0.708,0.683,0.755,,,,,,,,
Gaming_1080P-6530,Gaming,1080,115,3.92,4.098,3.354,3.501,0.475,0.624,0.69,0.609,,,,,,,,
Gaming_1080P-6578,Gaming,1080,154,4.399,4.413,4.412,4.379,0.504,0.425,0.464,0.463,,,,,,,,
Gaming_1080P-66d2,Gaming,1080,129,4.142,4.179,4.249,3.989,0.628,0.624,0.59,0.602,,,,,,,,
Gaming_1080P-698a,Gaming,1080,118,3.743,3.799,3.618,3.625,0.579,0.561,0.557,0.562,,,,,,,,
Gaming_1080P-6d53,Gaming,1080,118,3.821,4.021,4.156,4.14,0.552,0.503,0.603,0.591,,,,,,,,
Gaming_1080P-6db2,Gaming,1080,118,3.475,3.203,3.302,3.144,0.741,0.796,0.779,0.735,,,,,,,,
Gaming_1080P-6dc6,Gaming,1080,111,4.602,4.44,4.417,4.471,0.401,0.407,0.456,0.432,,,,,,,,
Gaming_1080P-6e45,Gaming,1080,118,2.517,2.412,2.273,2.337,1.047,0.974,0.952,0.985,,,,,,,,
Gaming_1080P-71a5,Gaming,1080,114,4.482,4.562,4.543,4.547,0.477,0.427,0.422,0.402,,,,,,,,
Gaming_1080P-72c8,Gaming,1080,119,4.366,4.408,4.412,4.509,0.503,0.393,0.446,0.398,,,,,,,,
Gaming_1080P-777b,Gaming,1080,129,4.05,3.773,3.976,3.829,0.635,0.508,0.571,0.626,,,,,,,,
Gaming_1080P-7a1e,Gaming,1080,116,4.024,3.927,3.921,4.127,0.504,0.606,0.587,0.607,,,,,,,,
Gaming_2160P-2436,Gaming,2160,135,4.473,4.592,4.545,4.519,0.571,0.452,0.465,0.531,,,,,,,,
Gaming_2160P-28de,Gaming,2160,154,4.349,4.581,4.488,4.466,0.609,0.433,0.489,0.563,,,,,,,,
Gaming_2160P-2b92,Gaming,2160,114,3.632,3.508,3.456,3.555,0.615,0.627,0.599,0.57,,,,,,,,
Gaming_2160P-2cb1,Gaming,2160,129,4.481,4.544,4.575,4.463,0.517,0.468,0.449,0.487,,,,,,,,
Gaming_2160P-2dc4,Gaming,2160,111,4.383,4.438,4.618,4.471,0.664,0.627,0.443,0.547,,,,,,,,
Gaming_2160P-3002,Gaming,2160,108,4.337,4.358,4.283,4.336,0.485,0.458,0.597,0.482,,,,,,,,
Gaming_2160P-31f6,Gaming,2160,133,4.311,4.317,4.263,4.316,0.517,0.469,0.578,0.615,,,,,,,,
Gaming_2160P-348d,Gaming,2160,129,4.443,4.387,4.367,4.374,0.469,0.452,0.499,0.504,,,,,,,,
Gaming_2160P-34a1,Gaming,2160,132,4.414,4.538,4.365,4.447,0.502,0.444,0.536,0.477,,,,,,,,
Gaming_2160P-387f,Gaming,2160,115,4.513,4.426,4.494,4.48,0.447,0.501,0.435,0.475,,,,,,,,
Gaming_2160P-3a25,Gaming,2160,127,4.502,4.514,4.601,4.539,0.443,0.449,0.44,0.54,,,,,,,,
Gaming_2160P-3aec,Gaming,2160,132,4.646,4.611,4.374,4.46,0.386,0.404,0.622,0.477,,,,,,,,
Gaming_2160P-3ce4,Gaming,2160,119,4.529,4.418,4.494,4.465,0.466,0.518,0.52,0.503,,,,,,,,
Gaming_2160P-4139,Gaming,2160,107,3.923,3.57,3.45,3.994,0.597,0.701,0.757,0.688,,,,,,,,
Gaming_2160P-416f,Gaming,2160,133,4.332,4.409,4.327,4.395,0.595,0.465,0.548,0.494,,,,,,,,
Gaming_2160P-4258,Gaming,2160,130,4.067,3.794,3.847,4.152,0.662,0.605,0.64,0.654,,,,,,,,
Gaming_2160P-5c33,Gaming,2160,115,2.834,2.711,2.954,2.468,0.913,0.914,0.767,0.911,,,,,,,,
Gaming_2160P-5c53,Gaming,2160,140,4.309,4.329,4.322,4.353,0.6,0.596,0.568,0.569,,,,,,,,
Gaming_2160P-673d,Gaming,2160,148,4.165,4.248,4.024,4.209,0.564,0.552,0.495,0.585,,,,,,,,
Gaming_2160P-67b0,Gaming,2160,136,4.204,4.235,4.36,4.277,0.607,0.566,0.521,0.636,,,,,,,,
Gaming_2160P-6bb6,Gaming,2160,131,4.537,4.534,4.615,4.536,0.473,0.426,0.388,0.444,,,,,,,,
Gaming_2160P-6cd8,Gaming,2160,143,4.31,4.214,4.285,4.556,0.589,0.554,0.571,0.423,,,,,,,,
Gaming_2160P-7e80,Gaming,2160,117,4.108,3.9,4.241,4.043,0.46,0.562,0.602,0.461,,,,,,,,
Gaming_2160P-7ff0,Gaming,2160,133,4.238,4.366,4.172,4.182,0.604,0.502,0.597,0.647,,,,,,,,
Gaming_360P-043e,Gaming,360,106,2.582,2.655,2.538,2.413,0.605,0.781,0.69,0.699,,,,,,,,
